experiment,user_id,user_name,algorithm,found_solution,runtime_ms,constraint_satisfaction_rate,calorie_error,protein_error,diversity_score,preference_score,balance_score,total_calories,total_protein,success,beam_width,strictness,num_allergens,diet_type,dataset_size
beam_width_ablation,4,Emma,,True,0.8945465087890625,100.0,1.0,0.0,32.666666666666664,0.0,64.48697501329082,1499.0,118.0,False,15.0,,,,
beam_width_ablation,5,David,,True,1.3113021850585938,100.0,5.0,0.0,33.69230769230769,33.33333333333333,84.57854406130268,1705.0,126.0,False,15.0,,,,
beam_width_ablation,6,Lisa,,True,1.3871192932128906,100.0,5.0,0.0,35.69230769230769,100.0,85.22349025202092,1545.0,104.0,False,15.0,,,,
beam_width_ablation,7,Tom,,True,1.983642578125,100.0,89.0,0.0,24.615384615384617,100.0,73.53801169590645,1911.0,136.0,False,15.0,,,,
beam_width_ablation,8,Rachel,,True,1.3473033905029297,100.0,87.0,0.0,56.92307692307693,33.33333333333333,66.39934913993491,1487.0,116.0,True,15.0,,,,
beam_width_ablation,9,Chris,,True,0.8759498596191406,100.0,1.0,0.0,3.3333333333333286,0.0,62.96847853065277,1851.0,133.0,False,15.0,,,,
beam_width_ablation,10,Nina,,True,1.2898445129394531,100.0,5.0,0.0,38.57142857142857,33.33333333333333,72.31182795698925,1645.0,126.0,False,15.0,,,,
beam_width_ablation,1,Alex,,True,1.2538433074951172,100.0,13.0,0.0,39.42857142857143,33.33333333333333,75.0,1787.0,126.0,False,20.0,,,,
beam_width_ablation,2,Sarah,,True,0.48851966857910156,100.0,15.0,0.0,33.69230769230769,33.33333333333333,92.16417910447761,1615.0,88.0,False,20.0,,,,
beam_width_ablation,3,Mike,,True,0.3895759582519531,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,20.0,,,,
beam_width_ablation,4,Emma,,True,0.9648799896240234,100.0,1.0,0.0,32.666666666666664,0.0,64.48697501329082,1499.0,118.0,False,20.0,,,,
beam_width_ablation,5,David,,True,1.382589340209961,100.0,5.0,0.0,33.69230769230769,33.33333333333333,84.57854406130268,1705.0,126.0,False,20.0,,,,
beam_width_ablation,6,Lisa,,True,1.500844955444336,100.0,5.0,0.0,35.69230769230769,100.0,85.22349025202092,1545.0,104.0,False,20.0,,,,
beam_width_ablation,7,Tom,,True,2.5022029876708984,100.0,89.0,0.0,24.615384615384617,100.0,73.53801169590645,1911.0,136.0,False,20.0,,,,
beam_width_ablation,8,Rachel,,True,1.3897418975830078,100.0,87.0,0.0,56.92307692307693,33.33333333333333,66.39934913993491,1487.0,116.0,True,20.0,,,,
beam_width_ablation,9,Chris,,True,0.9336471557617188,100.0,1.0,0.0,3.3333333333333286,0.0,62.96847853065277,1851.0,133.0,False,20.0,,,,
beam_width_ablation,10,Nina,,True,1.3511180877685547,100.0,5.0,0.0,38.57142857142857,33.33333333333333,72.31182795698925,1645.0,126.0,False,20.0,,,,
beam_width_ablation,1,Alex,,True,1.3175010681152344,100.0,13.0,0.0,39.42857142857143,33.33333333333333,75.0,1787.0,126.0,False,30.0,,,,
beam_width_ablation,2,Sarah,,True,0.5054473876953125,100.0,15.0,0.0,33.69230769230769,33.33333333333333,92.16417910447761,1615.0,88.0,False,30.0,,,,
beam_width_ablation,3,Mike,,True,0.3905296325683594,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,30.0,,,,
beam_width_ablation,4,Emma,,True,0.9565353393554688,100.0,1.0,0.0,32.666666666666664,0.0,64.48697501329082,1499.0,118.0,False,30.0,,,,
beam_width_ablation,5,David,,True,1.4584064483642578,100.0,5.0,0.0,33.69230769230769,33.33333333333333,84.57854406130268,1705.0,126.0,False,30.0,,,,
beam_width_ablation,6,Lisa,,True,1.7046928405761719,100.0,5.0,0.0,35.69230769230769,100.0,85.22349025202092,1545.0,104.0,False,30.0,,,,
beam_width_ablation,7,Tom,,True,2.0318031311035156,100.0,89.0,0.0,24.615384615384617,100.0,73.53801169590645,1911.0,136.0,False,30.0,,,,
beam_width_ablation,8,Rachel,,True,1.4371871948242188,100.0,87.0,0.0,56.92307692307693,33.33333333333333,66.39934913993491,1487.0,116.0,True,30.0,,,,
beam_width_ablation,9,Chris,,True,0.9903907775878906,100.0,1.0,0.0,3.3333333333333286,0.0,62.96847853065277,1851.0,133.0,False,30.0,,,,
beam_width_ablation,10,Nina,,True,1.5523433685302734,100.0,5.0,0.0,38.57142857142857,33.33333333333333,72.31182795698925,1645.0,126.0,False,30.0,,,,
constraint_strictness,1,Alex,,True,1.439809799194336,100.0,13.0,0.0,39.42857142857143,33.33333333333333,75.0,1787.0,126.0,False,,moderate,1.0,high-protein,
constraint_strictness,2,Sarah,,True,0.5245208740234375,100.0,15.0,0.0,33.69230769230769,33.33333333333333,92.16417910447761,1615.0,88.0,False,,strict,0.0,vegan,
constraint_strictness,3,Mike,,True,0.4417896270751953,100.0,94.0,0.0,3.3333333333333286,0.0,0.0,1806.0,103.0,False,,strict,1.0,keto,
constraint_strictness,4,Emma,,True,1.0256767272949219,100.0,1.0,0.0,32.666666666666664,0.0,64.48697501329082,1499.0,118.0,False,,moderate,1.0,vegetarian,
